FID;ID_Indicat;Nom_Indica;Departamen;Departam_1;Municipaly;Municipali;Categoria_;Categoria1;Aglomeraci;Función_S;Shape__Area;Shape__Length
1;12It12;Rurality level;47;Magdalena;47001;Santa Marta;Ciudades y aglomeraciones;Aglomeración;SA-Eje Caribe;Uninodal;2470975883;252715.4325
2;12It12;Rurality level;47;Magdalena;47053;Aracataca;Intermedio;Rural;Fuera SC;Fuera SC;1807307641;228464.9492
3;12It12;Rurality level;47;Magdalena;47189;Ciénaga;Ciudades y aglomeraciones;Función Subregional;SA-Eje Caribe;Uninodal;1374719127;221256.4317
4;12It12;Rurality level;47;Magdalena;47288;Fundación;Intermedio;intermedio;Fuera SC;Fuera SC;1019907748;226923.6454
5;12It12;Rurality level;76;Valle del Cauca;76113;Bugalagrande;Rural;intermedio;Fuera SC;Fuera SC;406383378.3;87939.39544
6;12It12;Rurality level;52;Nariño;52227;Cumbal;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;919572209.3;136318.3783
7;12It12;Rurality level;76;Valle del Cauca;76122;Caicedonia;Intermedio;intermedio;Fuera SC;Fuera SC;172536224.7;59314.84714
8;12It12;Rurality level;76;Valle del Cauca;76126;Calima;Rural;Rural;Fuera SC;Fuera SC;791477384.2;150582.7441
9;12It12;Rurality level;76;Valle del Cauca;76130;Candelaria;Ciudades y aglomeraciones;Aglomeración Cali;A-Cali;En aglomeración;298182809.2;78755.90913
10;12It12;Rurality level;52;Nariño;52233;Cumbitara;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;352210784.5;112046.9837
11;12It12;Rurality level;76;Valle del Cauca;76147;Cartago;Ciudades y aglomeraciones;Aglomeración;SA-Eje Cafetero;Uninodal;243795765.3;74948.23616
12;12It12;Rurality level;52;Nariño;52256;El Rosario;Rural;Rural Disperso;Fuera SC;Fuera SC;522630191.9;143118.3382
13;12It12;Rurality level;52;Nariño;52385;La Llanada;Rural;Rural;Fuera SC;Fuera SC;241352558;111922.9326
14;12It12;Rurality level;52;Nariño;52418;Los Andes;Rural;Rural Disperso;Fuera SC;Fuera SC;963923975.5;194310.9872
15;12It12;Rurality level;52;Nariño;52540;Policarpa;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;433177433.6;109550.7238
16;12It12;Rurality level;52;Nariño;52612;Ricaurte;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1067467567;192440.2802
17;12It12;Rurality level;54;Norte de Santander;54174;Chitagá;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1218407393;186405.5531
18;12It12;Rurality level;54;Norte de Santander;54206;Convención;Rural;Rural;Fuera SC;Fuera SC;958303698.3;271338.2068
19;12It12;Rurality level;54;Norte de Santander;54245;El Carmen;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1773684239;296802.6897
20;12It12;Rurality level;54;Norte de Santander;54250;El Tarra;Rural;Rural;Fuera SC;Fuera SC;720128776.5;126849.6255
21;12It12;Rurality level;54;Norte de Santander;54800;Teorama;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;955194984;240846.8391
22;12It12;Rurality level;54;Norte de Santander;54810;Tibú;Rural;Rural;Fuera SC;Fuera SC;2764588455;360517.2145
23;12It12;Rurality level;54;Norte de Santander;54820;Toledo;Rural Disperso;Rural;Fuera SC;Fuera SC;1504928073;207075.8634
24;12It12;Rurality level;66;Risaralda;66456;Mistrató;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;579118616.3;111156.4328
25;12It12;Rurality level;66;Risaralda;66572;Pueblo Rico;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;622815709.3;111132.3541
26;12It12;Rurality level;76;Valle del Cauca;76100;Bolívar;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;757708215.6;140058.307
27;12It12;Rurality level;76;Valle del Cauca;76233;Dagua;Rural Disperso;Rural;Fuera SC;Fuera SC;919697456.3;165915.2923
28;12It12;Rurality level;81;Arauca;81300;Fortul;Rural;Rural;Fuera SC;Fuera SC;1182400375;200426.4008
